Реестр инновационных проектов,,,,,,,
Номер,Название проекта,Описание проекта,Информация о заявителе инновационного предложения,,,Функциональный заказчик,Текущий статус
173,"Создание прототипа мобильного рабочего места работника РЖД (старшего электромеханика устройств сигнализации, централизации и блокировки, составителя поездов)","АРМ «Мобильное рабочее место» (АРМ МРМ): обеспечение мобильного доступа работников станции к данным информационных систем ОАО «РЖД» (АСУ СТ, АРМ Полиграф, АСУ Т, ЕК АСУИ) для получения оперативных технологических документов.
",ООО N185441,Алексеев Р.И.,8(458)-274-45-96,Д     ,4.Отправлено на доработку
174,Система технической диагностики и мониторинга асимметрии тягового тока контролируемых перегонных рельсовых цепей участка железной дороги ,"Комплект датчиков, позволяющих определить асимметрию тягового тока в рельсовых цепях
",ООО N268893,Семенов С.Р.,8(191)-234-40-13,Ш     ,4.Отправлено на доработку
175,BPIUM - Лоу-код платформа автоматизации бизнес процессов + Готовое решение «Управление имущественным комплексом предприятий»,,ООО N174889,Соколов А.Б.,8(926)-128-27-29,НРИ ДЭЗ    ,4.Отправлено на доработку
176,AMR- Агентство Мобильного Ритейла - Оцифровка и анализ бизнес-процессов в ритейле и на промышленных предприятиях с помощью мобильного приложения для персонала. Успешный опыт оцифровки подъездных путей для создания имитационной модели для ОАО «РЖД»,,ООО N276299,Козлов А.В.,8(897)-547-46-42,н/о     ,4.Отправлено на доработку
177,Композитные листы в негорючем исполнении и пултрузионные изделия для отделки интерьера и экстерьера железнодорожных вагонов различного назначения,"Компания «Этэрус-Техно» имеет комплекс технологических возможностей, позволяющий производить по уникальной в Российской Федерации технологии - методом непрерывного формования, шириной до 3 м и толщиной от 1 до 5 мм – стеклопластиковый профилированный и плоский лист для легких ограждающих конструкций. Производств аналогичного материала в РФ, СНГ и ближнем зарубежье нет. Стеклопластик -композитный материал с уникальными эксплуатационными и техническими свойствами: низкий
удельный вес, низкая теплопроводность, влагостойкость, устойчивость к механическим ударам, легкость
восстановления, возможность светопроницаемого исполнения.",ООО N332279,Николаев С.А.,8(294)-752-89-14,ФПК     ,3.Назначен менеджер
178,Виброконтроль и вибродиагностика вращающегося оборудования ,"Система позволяет производить диагностику колесных пар, колесно - моторных блоков, локомотивов с дизельными или электрическими двигателями ",ООО N897086,Новиков И.К.,8(264)-998-78-79,СТМ-сервис Т    ,3.Назначен менеджер
179,Программно - технический комплекс энергосбережения (ПТК -Э),"Автоматизированная система коплексного учета энергоресурсов железной дороги (АСКУ ТЖР ЖД), систему(ы) управления производством, транспортировкой и потреблением энергоресурсов",ООО N329561,Кемаев С.А.,8(977)-254-22-95,НТЭ РДЖВ ДПО   ,3.Назначен менеджер
180,AR/VR технологии Цифровые маршруты безопасных проходов. Виртуальные маркеры для фиксации результатов комиссионного осмотра,,ООО N105708,Егоров И.А.,8(384)-566-42-40,Д ДИ Т,3.Назначен менеджер
181,Производство полимерных композитных конструкций ,"Применение в строительстве железнодорожных объектов композитов позволит снизить стоимость жизненного цикла объектов благодаря таким качествам, как высокая прочность, коррозионная стойкость и низкий удельный вес ",ООО N565854,Федоров Х.С.,8(705)-953-69-16,П ДИ ДПО Ш,3.Назначен менеджер
182,Инновационные электронные устройства ,Система позволит выявлять и предупреждать нарушения требований охраны труда и безопасности производственных процессов при производстве работ на железнодорожных объектах. Предупреждать или экстренно оповещать работников сигнализируя о нахождении его в опасной зоне ,ООО N698881,Кемаев Т.К.,8(957)-269-21-38,В Ш ДИ ,3.Назначен менеджер
183,"ИНТЕЛЛЕКТУАЛЬНАЯ СИСТЕМА СВЕТОВОГО
СОПРОВОЖДЕНИЯ ПЕШЕХОДОВ НА ПЕРЕХОДЕ ЧЕРЕЗ
Ж/Д ПУТИ","ИНТЕЛЛЕКТУАЛЬНАЯ СИСТЕМА СВЕТОВОГО
СОПРОВОЖДЕНИЯ ПЕШЕХОДОВ НА ПЕРЕХОДЕ ЧЕРЕЗ
Ж/Д ПУТИ",ООО N707171,Фомин Ю.Б.,8(312)-825-19-62,ДИ     ,3.Назначен менеджер
184,Удаленное подключение к комплексной системе АСДТ-5к,направлен на достижение бесперебойного опробования автотормозов на станциях формирования для увеличения объема обрабатываемых поездов,ООО N944977,Нечаев Х.Ш.,8(625)-983-59-36,н/о     ,3.Назначен менеджер
185,"Мобильный прибор по проверке и настройке плат защиты от боксованияи юза Э1,Э2,Э3",,ООО N456464,Егоров П.Х.,8(111)-410-28-66,н/о     ,3.Назначен менеджер
186,Электростатическая защита стеклянных фасадов зданий ОАО “РЖД”,,ООО N247087,Козлов И.К.,8(758)-537-88-71,н/о     ,3.Назначен менеджер
187,Технология одновременного шлифования рельс на скоростных магистралях,"Обеспечивает повышение производительности и стойкости круга, в результате снижения сил и температуры резания
Позволяет увеличить скорость рельсошлифовальногопоезда, не применять охлаждающие средства и свести к минимуму прижогина поверхности рельсов",ООО N499453,Лебедев Т.В.,8(141)-992-22-29,н/о     ,3.Назначен менеджер
188,"Навесное оборудование
ССПС для покоса растительности в полосе отвода
","Разработка механизированной установки для ССПС, которая позволит выполнять покос нежелательной растительности в полосе отвода железной дороги.",ООО N400110,Соколов К.Г.,8(502)-459-14-97,"П, ДПМ",3.Назначен менеджер
189,Информационные экраны для широкого спектра нужд,"Централизованное управление контентом на всех экранах, вывод рекламной и/или справочной информации, автоматическое изменение расписания при отмене поезда, отсутствие затрат на электроэнергию на отображение и подсветку табло, синхронизация изменений на всех пунктах, где установлены табло.",ООО N961291,Волков Р.К.,8(528)-682-45-16,ИВЦ     ,3.Назначен менеджер
190,VR Pro,Создание системы обучения рабочих кадров на базе технологии виртуальной реальности,ООО N131650,Евсеев Х.Р.,8(407)-228-59-15,н/о     ,3.Назначен менеджер
191,Демпфирующие прокладки для рельсовых скреплений,"подрельсовые прокладки, нашпальные прокладки",ООО N950720,Ахмедшафин Л.Ю.,8(649)-697-31-87,ДИ П ДРП   ,2.Работа с проектом приостановлена
192,"MR-платформа российского производства для визуализации BIM-модели в целях детального планирования, контроля качества и прогресса строительно-монтажных работ",,ООО N695413,Кузнецов К.Э.,8(410)-750-87-56,ДКС ДЭЗ ДРП   ,2.Работа с проектом приостановлена
193,MR-платформа для визуализации BIM-модели в целях контроля качества и прогресса СМР,MR-платформа для визуализации BIM-модели в целях контроля качества и прогресса СМР,ООО N324066,Николаев И.В.,8(986)-392-35-64, ДЭЗ ДКС ДРП  ,2.Работа с проектом приостановлена
194,Интеллектуальная система в химико-технических лабораториях обеспе,"Повышение чистоты и качества воздуха внутри химико-технической лаборатории за счет разработки системы, объединяющей климатические и конструктивно обособленные устройства в единую сеть, управляя ими автоматически",ООО N365600,Неманов Т.К.,8(286)-811-78-55,н/о     ,2.Работа с проектом приостановлена
195,Оптимизация инвентаря с использованием больших данных и машинного обучения,Адаптация и использование решения для сбора и анализа данных по процессу хранения и отправки товаров,ООО N174268,Козлов Л.О.,8(600)-152-85-68,н/о     ,2.Работа с проектом приостановлена
196,Гравитационно-динамический сепаратор,,ООО N651435,Новиков Ю.Н.,8(896)-544-85-33,СТМ-Сервис Т    ,2.Работа с проектом приостановлена
197,Система RFID-контроля высоковольтного оборудования,Разработана система RFID-контроля изоляторов для цифровой сети с применением удобного программного обеспечения для учета оборудования и самодиагностики диэлектрического состояния с указанием точного места дефекта на контролируемом участке.,ООО N949195,Кемаев М.Б.,8(974)-357-67-98,НТЭ     ,2.Работа с проектом приостановлена
198,Ярейтинг,"онлайн-сервис для опросов общественного мнения со множеством дополнительных возможностей. связанный с СМИ, телевидением, соцсетями. Оптимизирован под нужды РЖД, опробован в пригородных компаниях.",ООО N569440,Петров Ю.Г.,8(632)-953-39-84,КТЦФТО     ,2.Работа с проектом приостановлена
199,VR-тренажер,"Отработка навыков безопасного выполнения работ, повышение квалификации сотрудников с помощью VR-технологий.",ООО N96217,Морозов А.М.,8(680)-831-21-30,П НТЭ НБТ ДИ  ,2.Работа с проектом приостановлена
200,Hermeschain,"Интегрированная облачная интеллектуальная система, цифровой экспедитор на основе, мультиагентных технологий, интернета вещей и блокчейна.",ООО N894063,Новиков И.К.,8(224)-570-76-91,РДЖВ     ,2.Работа с проектом приостановлена
201,NOE-VR,"NOE-VR - умный симулятор для медицинского образования, который обучает и контролирует результат сам.",ООО N71237,Иванов Ш.К.,8(116)-895-21-15,ДЗ     ,2.Работа с проектом приостановлена
202,Стабилизатор тока,"Стабилизатор тока представляет собой фильтрокомпенсирующее устройство на базе МИЭК, предназначенное для решения проблемы пульсаций тока и потребления реактивной мощности. Преимущества: повышенная энергоэффективность, меньшие масса и габариты, многофункциональность, КРМ, возможность реализации схем с различными параметрами без изменения состава схемы и ЭМЭ. Текущая стадия - НИОКР по ""СТАРТ-1"" для разработки прототипа. Ранее выполнены НИР по ""УМНИК"" и созданы макетные и лабораторные образцы МИЭК.",ООО N18313,Смирнов Ш.И.,8(566)-735-21-77,Ш РЦС НТЭ   ,2.Работа с проектом приостановлена
203,AMR (Агентство Мобильного Ритейла),"Комплексные исследования в контуре бизнес-процессов B2B клиентов с помощью мобильного приложения для персонала и технических средств (камеры, датчики и тд.)",ООО N327250,Николаев К.Р.,8(351)-866-17-76,ДИ     ,2.Работа с проектом приостановлена
204,Интерактивное пространство для путешествующих поездом,"Путешествующие делятся материалами, книгами, музыкой, отзывами, комментариями во время путешествия. Это даст возможность, улучшить обратную связь с пассажирами и релламу услуг РЖД.",ООО N489213,Нечаев В.М.,8(537)-296-31-68,ФПК ППК    ,2.Работа с проектом приостановлена
205,GAMESELLS,"Мобильное приложение может сделать лотерейный билет из любога чека, товара или билета на котором размещен qr код",ООО N612372,Никулин Ю.А.,8(278)-781-58-40,ФПК ППК    ,2.Работа с проектом приостановлена
206,DEFI Economist,Media source for innovation projects,ООО N431378,Пилюков Н.Н.,8(994)-622-57-32,н/о     ,2.Работа с проектом приостановлена
207,Система интеллектуальной видеоаналитики для проекта “Умная платформа”,"Система интеллектуальной видеоаналитики для проекта “Умной платформы”, которая осуществляет следующие функции: наблюдение за высадкой и посадкой, подсчёт пассажиров; контроль состояния платформы, наличия снега или наледи; детекция оставленного или разбросанного мусора; определение неадекватного поведения людей (бег, драки, падения и т.п.).",ООО N760647,Семенов Э.К.,8(459)-176-58-51,ДПО РДЖВ    ,2.Работа с проектом приостановлена
208,Амбар,Маркетплейс в сфере сельского хозяйства ( торговля зерном по России и странам снг),ООО N279617,Смирнов Э.Г.,8(578)-502-78-96,КТЦФТО     ,2.Работа с проектом приостановлена
209,Mind in map,Инструмент планирования,ООО N963917,Павлов Б.Э.,8(941)-353-54-60,ДСС     ,2.Работа с проектом приостановлена
210,teamreport.io,Сервис автоматического расчета заработной платы на основе kpi и показателей сотрудников,ООО N815998,Евсеев К.К.,8(262)-379-20-45,ДСС     ,2.Работа с проектом приостановлена
211,OMNIC,"Научно-производственная компания в области технологий самообслуживания для логистики,, ритейла и общепита.",ООО N260445,Соколов С.Л.,8(134)-840-62-59,РДЖВ КТЦФТО    ,2.Работа с проектом приостановлена
212,Он-лайн школа,Обучение,ООО N238306,Попов Д.Ю.,8(453)-569-71-32,ДСС     ,2.Работа с проектом приостановлена
213,SoftPOS.FONDY,Замена платежных кассовых терминалов мобильным приложением,ООО N750821,Николаев Т.Л.,8(428)-861-53-40,РДЖВ Л    ,2.Работа с проектом приостановлена
214,Simulativ VR,Система обучения в VR,ООО N602805,Смирнов Х.М.,8(500)-130-14-92,П НТЭ ДРП   ,2.Работа с проектом приостановлена
215,Комплекс на белой скале,Белая скала - является одним из самых красивых достопримечательностей сегодняшней России и в то же время заповедной зоной. Я предлагаю уникальную возможность возвести туристическую базу для привлечения как Российских так и иностранных туристов.,ООО N118960,Евсеев О.Х.,8(340)-429-22-54,ДСС     ,2.Работа с проектом приостановлена
216,Get Energy,Городской сервис аренды зарядок,ООО N474346,Козлов Х.Л.,8(628)-409-60-47,ДСС НТЭ    ,2.Работа с проектом приостановлена
217,OMNIC,"OMNIC (https://omnic.net/) - IT-продуктовая компания, специализирующаяся на разработке и производстве программно-аппаратных комплексов в сфере самообслуживания для ритейла, логистики и HoReCa. 
Мы создаем продукты, которые позволяют компаниям автоматизировать процесс взаимодействия с клиентами и решить вопрос «последней мили», а клиентам экономить время на рутине, получая качественный и удобный сервис в наиболее удобном месте. 
В 2019 году компания OMNIC установила мировой рекорд Гиннеса за самый большой почтомат в мире, а также за годы работы мы реализовали более 20 постаматных сетей как в России, так и в Восточной Европе. 

Мы решаем вопрос доставки «последней мили» для компаний и их клиентов, благодаря чему появляется возможность бесконтактно забрать свой заказ из интернет-магазина в удобном месте и в комфортное время, без зависимости от курьеров, что существенно экономит время.",ООО N924202,Новиков П.Н.,8(450)-121-19-19,КТЦФТО РДЖВ ФПК ППК  ,2.Работа с проектом приостановлена
218,"Разработка ""электронного телефониста""",Умный голосовой робот для бизнеса&nbsp;,ООО N744224,Петров Р.И.,8(756)-208-50-95,НС     ,2.Работа с проектом приостановлена
219,Speech Robot,Голосовые роботы для среднего и крупного бизнеса.,ООО N161844,Нечаев П.С.,8(588)-449-33-37,НС     ,2.Работа с проектом приостановлена
220,Safecopter,Дрон для инспекции,ООО N411108,Иванов Л.Х.,8(302)-590-42-39,ДРП РЦДМП ДИ   ,2.Работа с проектом приостановлена
221,VOMER,VOMER - органайзер средств коммуникации Новой Экосистемы и связи Нового поколения VMR -стандарта.,ООО N43091,Степанов О.Б.,8(161)-787-12-82,НС     ,2.Работа с проектом приостановлена
222,ГК САЛЮС,"Создание систем на условиях системного синтеза государства, бизнеса, науки и общества",ООО N770991,Никулин П.Д.,8(451)-522-26-23,ДСС     ,2.Работа с проектом приостановлена
223,EcoMoto,"Единая зарядная инфраструктура с унифицированнаэыми сменными батареями для СИМ: электромопеды, электровелосипеды, электросамокаты",ООО N90210,Фомин Б.Г.,8(488)-849-43-14,НТЭ     ,2.Работа с проектом приостановлена
224,Платформа Автоматизации Контакт Центра,"Мы предлагаем систему автоматизации контакт-центра, помогающую решать проблему высоких затрат на обслуживание клиентов, уменьшать время вывода оператора на линию, а также контролировать качество обслуживания и продаж. 

Ключевые модули платформы: 
- Голосовой и чат бот с визуальным конструктором диалогов и собственной системой распознавания и синтеза речи 
- Речевая аналитика 

Успешные кейсы: 
- Автоматизация технической поддержки крупного интернет провайдера (Диспетчеризация вызовов, консультация по типовым проблемам с интернетом, кабельным и т.д., автоматизация контроля обслуживания абонентов). Сокращение затрат на обслуживание до 45% 
- Автоматизация медицинских центров и государственных медицинских учреждений (Подтверждение записи на прием к врачу, автоматическая запись на прием к врачу, консультация по времени работы, списку услуг и стоимости услуг). Сокращение затрат на обслуживание до 30% и уменьшение времени работы операторов до 60%.",ООО N309307,Неманов С.Н.,8(596)-450-98-85,ФПК ППК КТЦФТО ДСС  ,2.Работа с проектом приостановлена
225,Управление рисками температурной логистики,"Термочувствительные товары требуют соблюдения и контроля температурных режимов. Контроль температурных режимов необходим на всех этапах логистики Производство-Склад-Доставка-Розница. Опираясь на статистику потери при хранении и доставке термочувствительного товара составляют от 10 до 20% по ряду проблем:
Хранение и доставка с нарушением температурных режимов.
Человеческий фактор и различные манипуляции. 
Пост-факт контроль при использовании логгеров и термописцев.
Оптимальным решением данных проблем является аппаратно-программный комплекс онлайн контроль микроклимата. Наш продукт — это аппаратно-программный комплекс онлайн контроль микроклимата.

Комплекс позволяет в РЕАЛЬНОМ ВРЕМЕНИ контролировать режимы микроклимата при хранении и доставке продукции, следовательно, процесс становится ПРОЗРАЧНЫМ для производителя дистрибьютора покупателя и регулятора. Пользователь системы может ПРЕДВИДЕТЬ нарушение режимов и СВОЕВРЕМЕННО предпринять все необходимые меры для прекращения такого нарушения и сохранить товар. Система внедрена, успешно используется на рынке с 2019 года. Имеет самую доступную стоимость и все необходимые сертификаты.",ООО N631458,Лебедев Р.Э.,8(539)-716-42-87,ДМ     ,2.Работа с проектом приостановлена
226,Светильники с жидкостным охлаждением,"Светодиодные светильники с улучшенными техническими параметрами и меньшей себестоимостью. Хороши для дальнего света, освещения больших территорий, освещения с высоты, интерьерный свет. Преимущества: работа при температурах от -75 до 120 градусов, вандалоустойчивы, устойчивы к химически агрессивным средам, возможно изготовление больших мощностей и решение нестандартных задач.",ООО N305276,Семенов Ш.С.,8(535)-239-82-40,НТЭ ДПО    ,2.Работа с проектом приостановлена
227,Cybernuta,Нейросеть для маркетрлейса улучшающая киберэкологию,ООО N564359,Кемаев О.Л.,8(242)-530-78-65,КТЦФТО     ,2.Работа с проектом приостановлена
228,Крым-Сахалин (Назад в Будущее),"Телепроект (он-лайн проект) о путешествии на современном фирменном поезде РЖД от Крыма до Владивостока. Каждый вагон состоит из наибодее ярких личностей разных городов России. Например вагон Тула, вагон Калуга, вагон Воронеж… Предварительно в городах проводят кастинги. Поезд следует по специально разработанному маршруту с остановками на самых интересных станциях для знакомства с достпоремечательностями. Ночью едет, днем стоит. Конечная точка - Владивосток, далее на теплоходе на Сахалин, там масштабый фестиваль и обоатно в Крым! Проект будет брендовым для РЖД! Показать преимушества путешествия на поезде через всю страну, показать страну, познакомиться с интереснвми людьми, сгенерировать массу идей для развития страны и конечно же полубоваться красотами Росии!",ООО N418767,Федоров Х.М.,8(239)-941-27-68,ФПК ДСС    ,2.Работа с проектом приостановлена
229,Казанский государственный энергетический университет,"как представитель Учебного заведения (Каз.Гос. Энер. Универ), как раз коллеги занимаются разработкой проблемой анти-облединения. Я диагностикой и мониторингом Тяговых электродвигателей.",ООО N958224,Михайлов М.Г.,8(596)-698-46-94,Т НТЭ ДПО РДЖВ  ,2.Работа с проектом приостановлена
230,"Комплексное обслуживание оборудования
","В состав нашего комплексного решения входят 
0) электронный паспорт и управление жизненным циклом (система реализована в виде мобильного приложения для линейного персонала, базы данных и десктопного веб-интерфейса для инженерного персонала)
- производителем либо экслуатантом на все запчасти и комплектующие наносится считываемый номер или код (идентификатор) – иглоударный на оборудовании/бирке либо краской / наклейкой.
- при перемещении между складами, установке детали в место эксплуатации и при демонтаже, проведении технического обслуживания или ремонта идентификатор сканируется мобильным приложением, фиксируется параметр (время, место, оператор и т.п.) и осуществляется изменение статуса детали
- в результате в системе в режиме онлайн поддерживаются данные о составе любого сложного оборудования, его истории и остаточном ресурсе
- на основе этих данных формируются предиктивные модели износа и графики обслуживания и ремонта; также возможна подготовка наряд-допусков на проведение работ в электронном виде
1) модуль электронный наряд-допуск для обслуживания оборудования (система реализована в виде мобильного приложения для линейного персонала, базы данных и десктопного веб-интерфейса для инженерного персонала), поставлена в ряд нефтегазовых и металлургических компаний:
- проведение всех этапов работ – от создания до закрытия – в электронном формате на персональном компьютере или мобильном 
устройстве непосредственно с места производства работ – печать наряд-допуска не требуется
- получение ответственными лицами автоматических уведомлений об активных задачах и статусах
- создание цифрового наряд-допуска отображение всех текущих и плановых работ на электронной карте объекта с динамическими статусами (согласован, на доработке, в работе, приостановлен и др.)
- автоматическое формирование мер обеспечения безопасности на основании места, вида и содержания работ с применением машинного обучения по выявлению и оценке рисков
- автоматическая блокировка конфликтных работ на участке
- возможность обмена фото, аудио- и видеоматериалами с места производства работ
2) модуль контроля технического обслуживания (система реализована в виде мобильного приложения для линейного персонала, базы данных и десктопного веб-интерфейса для инженерного персонала)
- в системе формируются регламенты технического обслуживания различных типов оборудования
- в мобильном приложении после идентификации агрегата и выбора режима «Обслуживание» сотруднику предоставляется список регламентных работ для данного типа (либо конкретно этого) оборудования
- при проведении такого обслуживания авторизованным сотрудником отмечаются выполненные работы, фиксируется время 
- операции, выполняемые в системе (= выполнение работ по обслуживанию), юридически квалифицируются как подписанные простой электронной подписью (ПЭП)
3) модуль обхода и формирования дефектных ведомостей (система реализована в виде мобильного приложения для линейного персонала, базы данных и десктопного веб-интерфейса для инженерного персонала)
- оборудование идентифицируется мобильным приложением путем сканирования либо ввода вручную индивидуального номера
- по итогам осмотра фиксируется статус «без замечаний» либо вводится комментарий по техническому состоянию 
- возможна привязка по геолокации
- возможна загрузка фотографии
4) иглоударные маркираторы (производятся мелкосерийно, поставки в РЖД, Уральскую сталь, Синарский трубный завод и др)
Наносят любые человеко- и машиночитаемые коды (QR, DataMatrix, Aztec, цифробуквенные и др.) на материалы от картона до титана: 
- стационарные со стандартным окном маркировки до 150х100 мм, 
- стационарные с увеличенным окном маркировки до 230х230 мм, 
- ручные портативные с окном маркировки до 120х40 мм, 
- комбинированные (стационарные/портативные). 
Могут работать в температуре до 800 градусов Цельсия с системой охлаждения.",ООО N52666,Николаев Л.Д.,8(992)-789-59-94,П ДРП    ,2.Работа с проектом приостановлена
231,Универсальный роботизированый комплекс,"""Универсальная роботизированная платформа с тяговыми асинхронными электродвигателями для универсального использования в труднодоступных и неблагоприятных погодных условиях, а также в опасных условиях труда для людей. Оснащен системой дистанционного управления, стабилизации устойчивости на местности и дистанционного наблюдения. Имеет функции пожаротушения нефтепродуктов и нефтяных скважин, перевозки грузов в Тундре, а также может быть использован для многих других задач.

Основные характеристики продукта в качестве робота противопожарной защиты:
- Ходовая часть: гусеничная
- Двигательная установка: электрическая (опция: гибридная)
- Снаряженная масса: 1 000 кг
- Грузоподъемность: 500 кг
- Общий крутящий момент: 5 880 Нм
- Мощность: 60 кВт
- Тип батареи: LiFePO4 или Li-NiCoMn
- Емкость аккумулятора: 24 кВтч
- Максимальная дальность связи: горная местность - 3 км, поле - 34 км
- Основные размеры: 2600x1600x900 мм (высота без оборудования)
- Расход воды: 80-120 л / сек.
- Расход пены низкой и средней кратности: 144000-216000 л / сек.
- Соотношение пены: 30
- Угол поворота: 270 °
- Угол подъема-опускания: 0-70 °
- Тип управления: беспроводной пульт дистанционного управления с блоком управления
- Гидридная система привода: опционально доступна.

Функциональное назначение:
- роботизированный комплекс пожаротушения нефтепродуктов и нефтяных скважин
- роботизированный комплекс доставки грузов в труднодоступные места и неблагоприятные погодные условия
- доставка опасного груза в опасные для человека агломерации

Основные потребительские качества:
а. Универсальная гусеничная роботизированная платформа для универсального использования в труднодоступных и неблагоприятных погодных условиях, опасных и опасных условиях труда. Оснащается для различных применений, целей и задач.
б. Пульт дистанционного управления в реальном режиме времени.
с. Высокая надежность для работы при высоких и низких температурах окружающей среды, различной влажностью.
д. Абсолютная экологическая чистота: соответствует всем современным и перспективным экологическим стандартам, полностью соответствует требованиям «Парижского климатического соглашения» 2015 года.
е. Отсутствие звукового загрязнения.
е. Высокая прочность и живучесть

В соответствии с ГОСТ Р 58048-2017 «Трансфер технологий. Методические указания по оценке уровня зрелости технологий» проект соответствует уровню TRL / УГТ 7:
1) УГТ: Прототип системы продемонстрирован в условиях эксплуатации. Прототип отражает планируемую штатную систему.
2) УГП: Достигнута возможность изготовления систем, подсистем и их компонентов в условиях, близких к реальным""",ООО N167233,Кузнецов Ф.Ф.,8(945)-403-89-68,ДАВС     ,2.Работа с проектом приостановлена
232,Модуль автоматического регулирования искусственного освещения,Повышение энергоэффективности при использовании системы автоматического регулирования светового потока,ООО N777994,Николаев Б.В.,8(400)-779-87-49,ДПО ДЭЗ    ,2.Работа с проектом приостановлена
233,Платформа Proffstandart.pro,"Платформа автоматизирующая рутинные процессы служб охраны труда с встроенными курсами повышения квалификации и переподготовки кадров, включая рабочие профессии с выдачей документов об образовании установленного образца.",ООО N813504,Кемаев Ш.Т.,8(988)-139-27-46,ДИ НТБ    ,2.Работа с проектом приостановлена
